,Date,Value
0,17.11.2013,2181815837.63
1,18.11.2013,2170786340.27
2,19.11.2013,2167156847.42
3,20.11.2013,2170377251.18
4,21.11.2013,2155516846.07
5,24.11.2013,2154671289.26
6,25.11.2013,2151215002.45
7,26.11.2013,2148955768.86
8,27.11.2013,2144888878.3
9,28.11.2013,2056910720.35
10,01.12.2013,2048897349.75
11,02.12.2013,2050328161.1
12,03.12.2013,2054950608.21
13,04.12.2013,2059270121.48
14,05.12.2013,2068196377.21
15,08.12.2013,2067524131.57
16,09.12.2013,2064651280.82
17,10.12.2013,2050139700.08
18,11.12.2013,2049548035.84
19,12.12.2013,2054783683.87
20,15.12.2013,2053428787.49
21,16.12.2013,2041261305.38
22,17.12.2013,2027411727.69
23,18.12.2013,2024177532.87
24,19.12.2013,2018572554.71
25,22.12.2013,1997302897.51
26,23.12.2013,1986515635.94
27,24.12.2013,1992605651.13
28,25.12.2013,2008413919.92
29,26.12.2013,2013439551.74
30,29.12.2013,2020858883.9
31,30.12.2013,2014100516.61
32,08.01.2014,2037952598.39
33,09.01.2014,2060153607.48
34,12.01.2014,2049895779.8
35,13.01.2014,2035066357.27
36,14.01.2014,2043452158.1
37,15.01.2014,2049692301.18
38,16.01.2014,2065135067.76
39,19.01.2014,2086512325.7
40,20.01.2014,2090686815.77
41,21.01.2014,2113435601.88
42,22.01.2014,2116638185.85
43,23.01.2014,2135136659.06
44,26.01.2014,2093160473.33
45,27.01.2014,2105663101.19
46,28.01.2014,2120221210.6
47,29.01.2014,2125221288.11
48,30.01.2014,2135089596.74
49,02.02.2014,2136343016.57
50,03.02.2014,2165593969.52
51,04.02.2014,2165671604.54
52,05.02.2014,2185130399.66
53,06.02.2014,2209675607.12
54,09.02.2014,2201122581.09
55,10.02.2014,2228293085.64
56,11.02.2014,2267064453.7
57,12.02.2014,2247265023.12
58,13.02.2014,2259910165.03
59,16.02.2014,2268073301.95
60,17.02.2014,2270922113.42
61,18.02.2014,2272155589.33
62,19.02.2014,2262855390.94
63,20.02.2014,2277570007.15
64,23.02.2014,2283600333.73
65,24.02.2014,2282306280.01
66,25.02.2014,2281910378.53
67,26.02.2014,2291541075.49
68,27.02.2014,2311874619.56
69,02.03.2014,2309784099.47
70,03.03.2014,2311054279.49
71,04.03.2014,2254599367.83
72,05.03.2014,2245449211.0
73,06.03.2014,2224602294.87
74,10.03.2014,2228193580.08
75,11.03.2014,2227646062.04
76,12.03.2014,2207357897.55
77,13.03.2014,2202289465.49
78,16.03.2014,2192729128.39
79,17.03.2014,2169821176.69
80,18.03.2014,2157765412.21
81,19.03.2014,2140338228.8
82,20.03.2014,2135232792.56
83,23.03.2014,2143935073.97
84,24.03.2014,2136898166.9
85,25.03.2014,2137569751.05
86,26.03.2014,2137488768.86
87,27.03.2014,2118053269.29
88,30.03.2014,2122032936.93
89,31.03.2014,2120930451.68
90,01.04.2014,2120044945.35
91,02.04.2014,2123453774.48
92,03.04.2014,2119271994.22
93,06.04.2014,2127351723.57
94,07.04.2014,2133484122.72
95,08.04.2014,2152072899.26
96,09.04.2014,2001516584.11
97,10.04.2014,2003336127.82
98,13.04.2014,2002723941.18
99,14.04.2014,1992275146.02
100,15.04.2014,1981789310.81
101,16.04.2014,1978028954.93
102,17.04.2014,1977996868.63
103,20.04.2014,1976841519.71
104,21.04.2014,1974978997.82
