,Fund_Name,Fund_Family,Fund_Url,Rating
0,Сбербанк – Фонд перспективных облигаций,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/366/,A++
1,Сбербанк – Фонд облигаций  Илья Муромец,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/47/,A++
2,Сбербанк – Природные ресурсы,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/641/,A++
3,Сбербанк – Глобальный Интернет,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/2233/,A++
4,Сбербанк - Еврооблигации,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/3125/,A++
5,Сбербанк – Фонд акций Добрыня Никитич,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/43/,A++
6,Сбербанк – Фонд Сбалансированный,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/45/,A++
7,Сбербанк — Биотехнологии,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/3953/,A++
8,Сбербанк – Потребительский сектор,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/803/,A++
9,Сбербанк — Золото,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/2225/,A++
10,Сбербанк – Америка,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/764/,A++
11,Сбербанк – Фонд активного управления,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/1070/,A++
12,Сбербанк – Финансовый сектор,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/957/,A++
13,Сбербанк - Глобальный долговой рынок,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/2050/,A++
14,Сбербанк – Электроэнергетика,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/642/,A++
15,Сбербанк – Телекоммуникации и Технологии,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/640/,A++
16,Сбербанк – Фонд акций компаний малой капитализации,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/367/,A++
17,Сбербанк - Развивающиеся рынки,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/1983/,A++
18,Сбербанк-Денежный,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/4995/,A++
19,Сбербанк - Индекс МосБиржи полной доходности брутто,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/5247/,A++
20,Сбербанк – Европа,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/2121/,A++
21,Сбербанк – Глобальное машиностроение,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/4349/,A++
22,Сбербанк – Арендный бизнес,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,https://investfunds.ru/funds/4265/,A++
